Date,CO2Flux,CO2,H2O,Temperature, Pressure,WindSpeed,HorizontalWindDirection,RotationToZeroWTheta,RotationToZeroVPhi,SensibleHeatFlux,LatentHeatFlux,FrictionVelocity
0,0.27306092,16.32617,266.8915,7.384792,97.21218,1.0163907,101.807556,0.23239024,78.192444,-0.30184287,4.246801,0.061768554
0.0425531915,0.3025128,16.407057,274.19366,7.490785,97.27623,1.0172441,113.37756,0.92365754,66.62244,-5.9117928,2.7164605,0.05431776
0.0638297872,0.49155927,16.450169,275.98117,7.617393,97.27256,0.9621347,106.28876,0.11364101,73.711235,-3.2615268,2.4105396,0.07960767
0.085106383,0.3860682,16.510174,278.3895,7.7153645,97.273186,0.87297255,128.08252,0.8232955,51.91748,-0.33446008,1.2121439,0.046092477
0.2340425532,0.14667961,16.602175,279.69348,7.6560926,97.2782,0.83833534,173.29489,0.17017433,6.7051115,0.42046198,0.24119923,0.026632616
0.2765957447,0.06468839,16.648935,281.56723,7.6943574,97.27911,0.9373177,289.3985,0.6752172,109.39849,-1.832458,0.538313,0.03562262
0.2978723404,0.35511816,16.669933,281.95435,7.6626763,97.279015,0.7963505,300.37296,1.3513271,120.372955,1.140449,1.2779163,0.046614204
0.3617021277,0.53953403,16.687931,279.89322,7.4636617,97.24986,1.0483432,309.3501,0.99130386,129.3501,3.7396657,1.4543209,0.05763945
0.4042553191,0.29315907,16.763346,278.67343,7.4020457,97.188896,1.050242,16.316177,0.7977041,163.68382,1.3039594,0.26196837,0.025469854
0.4255319149,0.01928594,16.741276,277.4264,7.3940945,97.12134,1.1491255,22.732819,0.7436219,157.26717,-2.9023693,0.39500302,0.03622611
0.4468085106,0.33550987,16.725668,276.46097,7.3848906,97.122185,1.1954784,22.21431,0.70914066,157.78568,-1.5023069,0.08945028,0.025309583
0.4680851064,0.42176616,16.686413,279.09717,7.4663787,97.201096,0.67671365,324.81256,1.2986006,144.81258,0.16166815,1.0907708,0.05735958
0.4893617021,0.010728469,16.72094,279.5177,7.4347844,97.212524,0.90497136,276.6043,1.2282833,96.60429,-0.13856366,0.6784099,0.04572715
0.5744680851,0.5138059,16.754911,278.101,7.2501183,97.21253,1.0589015,128.74307,0.70582163,51.25693,-0.30660617,0.79450005,0.026046792
0.5957446809,0.07461911,16.704891,281.5372,7.0550413,97.27679,0.7801436,91.34277,0.54464597,88.65721,3.8902953,1.8643085,0.06972666
0.6382978723,-1.0897746,16.612854,281.17746,6.5202603,97.319244,0.8979232,82.77246,0.09278749,97.22754,-0.39834556,4.116849,0.0677363
0.6808510638,-3.7503433,16.567862,280.22845,5.801225,97.28837,1.9923077,108.9075,0.17693885,71.0925,24.465603,9.754231,0.15688613
0.7234042553,-4.1115065,16.41863,284.03598,5.124546,97.2798,1.9913286,115.29089,0.50783443,64.7091,30.740843,21.712112,0.15735564
1,-0.5900367,15.968735,291.56378,7.3427677,97.08526,0.8456234,272.28925,0.30131623,92.289246,-0.21802406,3.2415533,0.0321894
0.0212765957,-1.5132373E-006,16.02862,291.71777,8.938216,97.193016,0.48764047,273.52814,0,93.52812,-5.5014027E-007,-1.0590735E-005,0.0001447045
0.0425531915,-0.0023448914,16.047821,289.1121,8.765513,97.207146,0.59655,299.45343,0.24866056,119.45341,0.18656823,8.5335694E-007,0.013332909
0.1489361702,-0.08157371,16.09294,221.91878,8.219533,97.38285,1.0700783,321.39447,0.7236174,141.39447,-0.8311436,-0.7527549,0.016734118
0.2553191489,-0.19949828,16.725452,278.90485,7.37095,97.498825,1.1542467,236.98909,0.09065416,56.98909,-4.8500757,0.16032629,0.046498258
0.2978723404,0.18372616,16.41895,258.80258,7.9403367,97.49341,1.4063991,247.64006,0.42795882,67.64005,-1.6557261,-0.8369564,0.02707415
0.5106382979,2.0058246,16.277163,285.53894,7.712889,97.71197,6.2618895,26.201706,1.3131362,153.79828,-8.864094,8.340109,0.3751815
0.5957446809,-1.3472124,16.196394,264.9507,6.943716,97.866196,5.5690455,30.156982,0.61421245,149.84302,-27.598955,6.5635324,0.37456465
0.6595744681,-1.289638,16.176712,259.23224,6.5713444,97.99114,3.7892985,32.238968,0.3921707,147.76102,8.174642,20.42134,0.22573261
0.7021276596,-2.4923031,16.141487,259.87665,6.4290714,97.992424,5.4706764,9.2269745,1.5092183,170.773,23.47034,32.047886,0.29793727
0.7872340426,-0.92952317,16.094555,213.14355,5.177022,97.89919,4.9752088,19.403381,1.0443655,160.5966,67.336266,44.367912,0.2182064
0.914893617,-5.5494976,15.961281,231.63692,5.6434493,97.69434,1.7780102,40.58629,0.6364297,139.41371,36.398987,43.005356,0.1497825
0.9787234043,-3.2341578,15.941287,236.08124,6.537227,97.56418,1.4900802,99.543274,0.36530527,80.45671,14.172733,24.3453,0.12699576
0.1063829787,-0.013364988,16.167128,238.36449,8.007182,97.49993,1.9917654,159.86469,0.15195121,20.135324,-0.367372,0.032001637,0.008931945
0.1489361702,-1.1511161E-006,16.329573,243.45213,7.952578,97.49927,0.7098857,265.776,0,85.77599,8.6582645E-007,-2.4790513E-006,6.825858E-005
0.170212766,0.023341833,16.348309,244.19975,8.163433,97.49925,0.9218492,236.3387,0.07132631,56.3387,-1.6974416,0.21883988,0.033391032
0.2340425532,2.0205145,16.578339,244.25787,7.6701946,97.43266,1.1655275,228.59341,0.30646732,48.59341,-8.724366,1.7379206,0.090327494
0.2765957447,-0.6155322,16.43034,242.24281,7.543649,97.35409,1.9323113,157.80121,0.2804636,22.198778,1.0831056,-0.30594608,0.0394308
0.2978723404,-0.108369924,16.663092,236.2131,7.1824155,97.28859,2.458117,163.18912,0.30261222,16.810856,-3.3740287,-0.11253516,0.05189057
0.4255319149,-0.2857481,16.574692,224.17993,7.1947103,97.178345,1.9912449,163.51437,0.28461885,16.485647,-3.6657286,-0.059714828,0.046952713
0.5744680851,0.05675958,16.264524,256.4592,6.2622275,97.07041,3.6560535,179.94812,0.108352445,0.0523392,-7.5758653,1.4711438,0.18291987
0.6170212766,-2.9221022,16.178017,281.06274,6.018265,97.002365,5.5092354,198.18456,0.75459284,18.184563,7.597737,21.956394,0.2735121
0.7021276596,-8.02491,15.850259,327.27707,8.3240795,96.881805,6.063176,195.91463,0.70831233,15.914624,76.061966,75.76146,0.35965696
0.7872340426,-7.201951,15.444552,391.12933,11.787666,96.81177,7.1976123,217.07329,0.7246982,37.07329,128.8934,160.9303,0.4792011
0.829787234,-8.045704,15.328878,408.2033,13.245942,96.67323,9.502557,207.65515,0.96631426,27.655151,120.736946,185.10127,0.5016453
0.914893617,-5.20338,15.31428,405.4123,14.337349,96.52871,6.980522,217.24521,0.4992857,37.24521,23.858477,110.835915,0.4578758
0.9574468085,-6.026566,15.217546,413.40472,14.670583,96.44278,5.6582665,203.79294,0.69153833,23.792934,-6.2088485,67.02004,0.31714502
0.0212765957,-0.12118515,15.379906,412.9323,13.002664,96.37861,2.525973,159.15375,0.29673567,20.846249,-4.6086473,-0.20200066,0.053990293
0.085106383,0.48344895,15.804144,380.73312,11.421029,96.47324,3.2832663,162.03,0.15065798,17.970003,-19.165066,-0.95213366,0.12017196
0.2765957447,0.7094783,15.897118,379.16138,10.444762,96.34825,4.922125,167.20193,0.11534999,12.798058,-27.490328,-1.3768947,0.2866114
0.3617021277,0.92182493,15.836587,395.73422,10.85418,96.21014,5.9234233,164.57391,0.5016316,15.426095,-38.86729,-4.712774,0.3980762
0.3829787234,1.1765093,15.845132,394.0704,10.794426,96.11143,6.7259016,166.76862,0.30710512,13.231374,-35.793713,-5.532108,0.41502562
0.4042553191,1.6029848,15.82041,390.78467,10.771433,96.078705,6.9206667,168.68921,0.22293597,11.310791,-31.711145,-6.716521,0.41378692
0.5531914894,0.29985353,15.455794,462.8192,12.649138,95.89523,8.793133,186.90057,0.34092346,6.900584,-24.816967,5.543828,0.49796867
0.7234042553,-5.857633,15.151318,486.9076,14.702669,95.74258,8.120496,197.25237,0.6327295,17.25235,9.874088,48.323864,0.42007664
0.8085106383,-8.246087,14.9648,500.43466,16.825472,95.56495,8.562837,201.35045,0.6946439,21.350447,48.55328,124.58514,0.4591498
0.9787234043,-0.53329515,15.974442,267.83716,6.9767723,95.90778,9.316667,351.48645,1.1937028,171.48643,61.72397,41.863083,0.7000098
0.0425531915,1.8982528,16.11879,231.02298,6.322272,96.279785,9.98029,358.76086,1.4682056,178.76093,84.55946,32.979607,0.6611798
0.1489361702,-0.2739908,16.205206,179.37936,4.858683,96.60409,8.815103,4.911545,1.6843514,175.08847,71.557205,-3.5072894,0.5497061
0.1914893617,1.4145154,16.223866,200.60419,4.601255,96.711975,8.810891,3.941742,1.5202,176.05826,71.4604,24.556297,0.56749046
0.2127659574,1.3430882,16.243252,198.07812,4.5246906,96.74118,7.86681,5.5565796,1.7787242,174.44342,65.075645,21.909563,0.51137894
0.2553191489,1.1120795,16.312101,184.7541,4.362157,96.80011,7.7754016,9.660004,1.6073008,170.33998,62.294025,21.831896,0.47818282
0.2978723404,1.8901393,16.342134,167.79347,4.2579665,96.88359,7.2443576,10.64299,1.3816863,169.35701,51.25269,10.128644,0.4400794
