Date,CO2Flux,CO2,H2O,Temperature, Pressure,WindSpeed,HorizontalWindDirection,RotationToZeroWTheta,RotationToZeroVPhi,SensibleHeatFlux,LatentHeatFlux,FrictionVelocity
0.1276595745,0.27480447,16.5288,278.11478,7.727955,97.27852,0.7056664,145.71674,0.61960465,34.283264,0.447028,0.565032,0.026497453
0.3191489362,0.31566164,16.67794,281.8678,7.6188087,97.2721,0.8946116,292.47018,1.1780264,112.47017,-1.672152,1.3067923,0.048658926
0.5319148936,0.26827303,16.774292,277.00912,7.477119,97.26309,1.2937784,142.91205,0.20842017,37.087933,0.91157544,0.70587325,0.042038266
0.6595744681,-3.5915349,16.60501,282.30164,6.0263157,97.31959,1.2066052,104.4234,1.3366209,75.57659,16.971067,10.352134,0.1428998
0.7659574468,-5.3038507,16.348093,286.34592,5.009992,97.20726,1.5893772,92.824646,1.1526706,87.17535,36.282307,23.939497,0.12563792
0.8085106383,-6.2314854,16.161184,281.90216,4.728007,97.10314,0.90559,106.5874,0.42566654,73.41258,30.037945,26.495998,0.115491435
0.085106383,-0.06628399,16.170422,280.43976,8.933673,97.27629,0.63693774,11.422256,0.29739437,168.57773,-1.6040077,0.50177616,0.025264252
0.3404255319,0.5448536,16.184717,167.03181,7.5351114,97.49869,2.0940385,326.64423,1.1062384,146.64421,-2.4741104,2.3046243,0.032351825
0.5531914894,0.3705129,16.246252,281.36917,7.6920495,97.7721,4.4829044,40.92685,0.5898354,139.07315,-2.408209,5.980012,0.30830875
0.5744680851,-0.33129603,16.22373,277.85983,7.562063,97.797646,5.248758,26.138046,1.1641575,153.86194,-2.1128023,0.13456967,0.2745489
0.8085106383,-6.006144,16.064344,219.4271,5.211668,97.87777,4.0806317,22.031738,1.1131157,157.96826,61.71238,72.81995,0.2676625
0.829787234,-7.960028,16.031525,222.84908,5.259321,97.797424,2.9858673,26.193115,0.76591766,153.80688,83.80908,83.815865,0.18683524
0.0212765957,-0.28009146,16.05638,246.08507,8.282539,97.50587,1.998332,113.2204,0.4969287,66.7796,-2.9285667,-0.92424,0.0120693855
0.1276595745,-0.012891105,16.154993,235.80641,8.022022,97.49854,1.7124709,165.71295,0.0523392,14.287054,-0.34617272,0.004491817,0.005179708
0.2127659574,-1.1700817,16.490788,247.13597,7.7816167,97.481384,1.2329977,229.99661,0.034264047,49.99661,-8.32783,-0.65611064,0.06685872
0.2553191489,-0.15630272,16.449846,243.03934,7.7191277,97.38419,1.5182861,198.52103,0.25487804,18.52102,-2.6409593,-0.1934546,0.01950113
0.3617021277,-0.09448304,16.665462,233.26826,7.153352,97.22374,2.3364499,164.63348,0.3051877,15.366526,-3.06795,0.082706645,0.06993983
0.4468085106,0.27316085,16.527802,227.5993,7.122232,97.16053,2.5847046,155.2586,0.31341186,24.74139,-6.5149474,-1.5601298,0.09507159
0.5106382979,-0.35165542,16.34984,232.68721,7.2620654,97.07905,3.8439574,181.82951,0.30582818,1.8294913,-13.682787,-0.558888,0.22715057
0.7659574468,-8.607057,15.532465,376.24908,10.886332,96.8653,6.1624937,213.40889,0.7589884,33.40889,137.03323,159.51111,0.4097785
0.8510638298,-7.700461,15.345547,407.3187,13.438004,96.60582,8.652635,204.73601,1.0208675,24.736004,98.9092,156.34236,0.437405
0.8936170213,-7.090877,15.289689,408.43628,14.111735,96.552505,7.3123517,211.93932,0.77858686,31.939312,56.850105,134.40076,0.3936493
0.9361702128,-5.219621,15.287698,406.9283,14.518076,96.49563,6.8116174,206.91132,0.6809885,26.911325,11.896173,81.19538,0.3230683
0.9787234043,-5.1267366,15.181797,418.1326,14.726321,96.38678,5.220044,196.66133,0.6311813,16.661345,-18.752216,54.28487,0.29002374
0.0638297872,-0.35565212,15.821709,385.9537,11.560152,96.40763,3.140974,164.31842,0.15323353,15.681594,-14.972926,-1.5692464,0.09117372
0.1489361702,0.64451456,15.768119,383.81564,11.813551,96.49992,5.762124,187.51202,0.32020584,7.512021,-58.43847,6.3220987,0.30756766
0.2553191489,0.722749,15.918086,380.10025,10.643551,96.37777,5.187803,167.59067,0.16785893,12.409323,-31.840088,1.4573157,0.319932
0.2978723404,0.7151864,15.81388,388.66336,10.798583,96.291016,5.216056,167.61166,0.05595296,12.388328,-30.912352,-4.229785,0.30953145
0.4680851064,2.0386875,15.581928,373.63174,10.78469,95.95855,6.693029,173.73755,0.187672,6.2624435,-27.009174,-7.966509,0.42467207
0.5744680851,-1.1983829,15.381259,467.75418,12.823016,95.87817,7.348308,182.55688,0.3244552,2.5568857,-26.110462,0.80753696,0.486288
0.7659574468,-12.517377,15.036538,495.08618,15.608451,95.61699,8.74494,191.47592,0.4511083,11.475907,82.434715,128.22987,0.5748754
0.7872340426,-9.6219015,15.004374,499.5011,16.073809,95.602516,9.029521,198.86166,0.7964766,18.861658,52.834915,122.46435,0.51202726
0.9361702128,-6.2576985,15.802339,301.22913,7.3209643,95.70119,9.197925,354.5162,1.3632935,174.5162,141.84737,83.73159,0.7063134
1,1.139051,16.035683,257.73364,6.9732165,96.03789,8.855818,351.0138,1.5449716,171.01382,75.547966,43.985645,0.78001064
0.0638297872,2.110321,16.1391,227.77351,6.233866,96.38263,9.656493,1.8907471,1.4843775,178.1092,85.31864,31.050898,0.65662736
0.1276595745,5.9033036,16.289257,151.5299,4.8726997,96.5584,8.559592,0.15863037,1.6745634,179.84189,79.9132,-56.73077,0.57571477
0.4468085106,2.0566683,16.325848,179.80661,5.0019317,97.001854,7.8980646,14.339935,1.6081527,165.66005,71.271484,25.227482,0.50457615
0.6595744681,1.2716491,16.388643,168.83449,4.5617204,97.21624,5.0392957,24.211166,1.1060615,155.78882,108.626015,28.01756,0.33416635
0.7021276596,-0.83304125,16.356215,172.99242,4.2301655,97.216156,5.1795244,10.837112,1.6168908,169.16289,140.60019,37.04857,0.32894307
0.1276595745,-0.05952804,16.414167,196.0473,6.5806446,97.236786,1.3482354,347.46716,0.91877204,167.46718,-3.7903047,0.82159126,0.06600803
0.5531914894,0.8098751,16.919958,186.22508,4.2926807,97.23971,1.6052523,102.789246,0.62620145,77.210754,-2.19951,1.9725467,0.069056235
0,-0.009905491,15.434198,302.45978,11.714533,96.583206,2.0272593,149.17834,0.3121607,30.821632,-2.556293,-0.51675063,0.050323367
0.4255319149,0.018339,16.126528,286.62866,8.593981,96.71207,2.0591295,139.59235,0.10279216,40.40765,-10.831821,-1.0861777,0.080824874
0.4468085106,0.43657556,16.17136,283.79544,8.468903,96.77137,1.199532,70.4603,0.6355067,109.539696,-13.572667,-3.1725929,0.04363432
0.7659574468,-11.980291,15.464849,397.94144,12.774123,97.09169,1.9134045,54.022217,0.7116197,125.977776,111.129715,120.29657,0.24712563
0.8510638298,-9.102782,15.435634,423.8361,15.737709,96.86039,3.4437401,85.48181,0.26467013,94.51817,131.6683,141.57443,0.28449285
0.914893617,-6.5455294,15.183324,411.1398,17.038958,96.80045,2.524276,116.61914,0.58249134,63.380844,52.89757,102.75402,0.17145914
0.0638297872,-0.5982236,15.901593,413.4389,15.190926,96.78364,2.1959474,104.52353,0.8652461,75.47648,-8.031673,-0.6966553,0.068377174
0.2127659574,0.5208812,16.244997,384.1284,11.833509,96.712296,2.03864,88.550446,0.6708562,91.449554,-13.060707,-1.3122828,0.056479707
0.4468085106,-2.0272963,16.109959,383.84482,11.050553,96.27628,5.2144046,178.38467,0.25022942,1.6154377,-50.450882,-2.8622518,0.29822487
0.4893617021,0.539032,15.884468,380.61664,12.338323,96.239914,6.3152146,201.24162,0.59741676,21.241623,-65.33408,14.051973,0.28693753
0.5106382979,0.5505621,15.833052,369.2871,12.378743,96.237854,6.43319,198.19395,0.6691038,18.193949,-82.35352,20.265533,0.34444693
0.6808510638,-7.6274095,15.383803,384.43686,14.068885,96.77851,3.8642657,302.4668,1.1463721,122.466805,78.40673,95.07066,0.24384767
0.7234042553,-6.2297792,15.36454,421.08862,14.600465,96.81632,2.9580612,316.33813,1.3664478,136.33812,142.03943,112.709526,0.2931582
0.7659574468,-7.2896986,15.167651,446.38794,16.824802,96.87444,5.719213,4.7321167,1.4283451,175.26788,151.38779,133.3717,0.4290724
0.8085106383,-12.709585,15.0149355,473.48624,18.188572,96.882935,7.702185,13.724518,1.3357422,166.27548,131.35852,214.3785,0.48365057
0.829787234,-11.72386,15.00534,472.03406,18.094854,96.883575,8.625712,12.893555,1.376436,167.10643,135.68956,205.9449,0.5737765
0.9361702128,-9.081933,15.446761,410.44583,13.665338,97.2017,9.046254,3.5261078,1.7467501,176.47389,99.805244,128.22484,0.6331113
0.9787234043,-4.2815537,15.539443,375.04904,12.1988945,97.3077,7.7721677,10.0914,1.5493985,169.9086,32.748295,61.00609,0.49968922
